,TP9,AF7,AF8,TP10
0,-13.577249747556685,-10.162299797279802,-15.29488593833926,-11.664938899164301
1,-13.878669451746182,-10.707569590423965,-16.02485622886674,-12.232204958731607
2,-14.382169433422312,-11.240308540235032,-16.7436392366322,-12.811696194179902
3,-14.977783050437619,-11.728171334971579,-17.41899004607643,-13.386317425086457
4,-15.478656423992632,-12.147606311996622,-18.025442028353826,-13.930463943682794
5,-15.702040715828623,-12.506870599392698,-18.550703368592284,-14.368593608752242
6,-15.547584734958217,-12.826564338370286,-18.996627383512273,-14.652768482195135
7,-15.41716993802075,-13.162282184275702,-19.38015550452657,-14.915093097922146
8,-15.700240514504642,-13.53512308613672,-19.718925278150778,-15.28671463702559
9,-16.025348067355065,-13.943610790074606,-20.016604016153227,-15.683952174110146
10,-15.948542378490448,-14.364480830806444,-20.268231863511712,-15.9851413281141
11,-15.644812596618138,-14.762389556762587,-20.460646197734533,-16.173727504884546
12,-15.395279484564943,-15.11268966346561,-20.585194488775926,-16.267553663463353
13,-15.30113605468063,-15.39838947190827,-20.656569765673915,-16.32836337491533
14,-15.393657163045182,-15.63120905102935,-20.698370562314516,-16.41999140452941
15,-15.408939830607356,-15.815814305665695,-20.7299405393935,-16.492842270944752
16,-15.094738441216736,-15.935562186006537,-20.765944350389194,-16.483696044307912
17,-14.803602047050212,-16.007361173787505,-20.808721741493432,-16.4478315284695
18,-14.915514737674828,-16.08821513769491,-20.85713876118228,-16.454626931096193
19,-15.139444745949888,-16.213496821408857,-20.917467882175078,-16.486848865711213
20,-15.128267117891166,-16.380909295687832,-20.998489421176558,-16.525941826408847
21,-15.004249246330861,-16.591309961280412,-21.113803303551084,-16.608173636891333
22,-14.967691138155299,-16.82478468799536,-21.270223689945762,-16.76754513125847
23,-15.169119551076406,-17.04317750150522,-21.446359056387934,-17.030166569310374
24,-15.679594571986133,-17.219479026442624,-21.614332928745625,-17.391366161994895
25,-16.136521054384406,-17.32080403806104,-21.767421842854127,-17.73425033611786
26,-16.18267990268026,-17.360514367765116,-21.89712337497628,-17.94802242208093
27,-16.146816968643087,-17.377314086180732,-21.996850956697674,-18.085977534196406
28,-16.41764667612299,-17.416889954096398,-22.04601391406981,-18.231778755797013
29,-16.76825890091377,-17.4851707179835,-22.041057304615798,-18.370215167139396
30,-16.901909084298484,-17.57313801837006,-21.9848897281426,-18.46830517100384
31,-16.83961737503516,-17.695774289146144,-21.89552257912697,-18.50981161723969
32,-16.671169609987892,-17.84733707063556,-21.79098036963128,-18.48260095439195
33,-16.59472680750574,-18.00105956743827,-21.666205130525384,-18.42436215152217
34,-16.767101279875046,-18.10580858683482,-21.510653896313265,-18.376562196392545
35,-16.856615111996437,-18.143222791253763,-21.325190506154655,-18.29036127088422
36,-16.533662053456915,-18.141408983734145,-21.11376800437105,-18.12037875509579
37,-16.13631951594769,-18.126508895160306,-20.88270438864484,-17.941891111039794
38,-16.053320968803092,-18.124409628637256,-20.636446306530637,-17.82785085152467
39,-16.146128869242112,-18.13515438872174,-20.368910335545362,-17.74452725082045
40,-16.176006331473232,-18.13768701108276,-20.06954731300867,-17.629076107710446
41,-15.984631372014826,-18.10022001066106,-19.727338231498347,-17.405843354613367
42,-15.494930731427772,-17.998704321082343,-19.336222496945553,-17.03016237312009
43,-15.052397190576215,-17.82627902012262,-18.905947349703293,-16.60993264109696
44,-14.995321069708579,-17.604144606987,-18.45183765472958,-16.268625105237646
45,-14.955150423827178,-17.41310439886587,-17.978625920296942,-15.954442277394548
46,-14.513164882481714,-17.322757121301198,-17.489949782241705,-15.594159486919649
47,-13.92739427093017,-17.302807081025218,-16.999416960404872,-15.243837369460115
48,-13.52832073402038,-17.2968630464003,-16.51313681627149,-14.963487992546847
49,-13.275572227293283,-17.252875411606578,-16.018352557556966,-14.749231306869477
50,-13.046228953449132,-17.155555832118942,-15.492277767975263,-14.570156368907966
51,-12.605104961608768,-16.990566418833062,-14.9046622590642,-14.3285973717276
52,-11.781578524582134,-16.761918138844067,-14.236000757598894,-13.942970992727254
53,-10.978663239807599,-16.469522222222324,-13.495438652134334,-13.492242686277521
54,-10.613334828456528,-16.121743277926036,-12.716113945103823,-13.083532491999492
55,-10.357506081019427,-15.754984240519587,-11.952231748283648,-12.694548796203042
56,-9.806517613800303,-15.401941344687756,-11.254414917187116,-12.285825523781213
57,-9.125497086612588,-15.071728637322066,-10.64596279368657,-11.893410054721393
58,-8.55559971030997,-14.748690296046005,-10.11801024458068,-11.546266210303886
59,-8.148520689224664,-14.377748113347264,-9.619402173873747,-11.235925520465624
60,-7.845189306155528,-13.940747507403929,-9.11786255694018,-10.925774643975423
61,-7.55715110852428,-13.462903342943328,-8.641546039939392,-10.58412788103142
62,-7.119665503632369,-12.9978358471674,-8.207110167154887,-10.173320245166774
63,-6.8049975112128545,-12.570867170006228,-7.800112079066462,-9.797450985240415
64,-6.834844394654213,-12.20746746306773,-7.39654419745534,-9.54426478207353
65,-6.684803057494086,-11.894371350603592,-6.960065351077326,-9.256248242178453
66,-5.864012293319748,-11.603169395946477,-6.467248310225829,-8.775228610282628
67,-4.870520837754678,-11.296818936879601,-5.923836351439163,-8.22959747798678
68,-4.408628796010154,-10.809967084720356,-5.368984955664901,-7.748248946733806
69,-4.151037441719441,-10.299557494954318,-4.827897198319931,-7.334863090546121
70,-3.7278557926426363,-9.790225129950242,-4.338487557915194,-6.917246835107814
71,-3.1373552445847497,-9.322744498833014,-3.913099177038542,-6.484280479789466
72,-2.502385810715423,-8.932011281776939,-3.547034747262194,-6.046724745251176
73,-2.0849743404660335,-8.615036160279647,-3.221620794113842,-5.6528779330516565
74,-2.115855454724022,-8.348596093536452,-2.9217118822481973,-5.355249452847287
75,-2.303435361624658,-8.113096330610666,-2.642736578822292,-5.121141167052873
76,-2.2415329686008154,-7.885614515582398,-2.3973910654663606,-4.8945286729524655
77,-1.9530727936169818,-7.636225710857077,-2.1858950361348963,-4.674725029891823
78,-1.6071518670491325,-7.343063028543339,-1.97730417002176,-4.472473717033343
79,-1.3938976349861272,-7.003147328274842,-1.755100949064324,-4.302580173282962
80,-1.4631073280619882,-6.628407168919217,-1.5079399728229899,-4.1689545953288265
81,-1.510923572842406,-6.239977356867938,-1.2464425322257986,-3.9797320064129433
82,-1.177087285843612,-5.863071297861809,-0.9924926297614619,-3.644594224845476
83,-0.7701751827995019,-5.525116371854298,-0.7608120503979243,-3.2400971257478037
84,-0.7087176776954875,-5.240231515319391,-0.5591168201656389,-2.8803562829127682
85,-0.8290218889427601,-4.989323487631093,-0.38217470984470875,-2.5559686006082845
86,-0.8473356858676628,-4.741347810516965,-0.21880875752138457,-2.229750504373473
87,-0.7062175141978225,-4.473398080430423,-0.07021472385893,-1.9085771670408598
88,-0.4225974879596178,-4.175353198543307,0.05968483636904183,-1.6054599272921077
89,-0.2477034617156747,-3.8708041316963886,0.1799314050970567,-1.363405352016205
90,-0.43550042630994235,-3.5912175083884055,0.29822280017429037,-1.221215407852958
91,-0.6396782898262474,-3.330805171400935,0.40731968543268954,-1.1133575640301507
92,-0.43438251415579804,-3.073040754273351,0.4971825123194414,-0.9582653490830096
93,-0.10170940107226822,-2.8207189311077157,0.5600747052149033,-0.7935751229871734
94,-0.04954857646488096,-2.581096280397482,0.5964270435513532,-0.6785255946970773
95,-0.1864847963757659,-2.3623381143968425,0.6296560902515965,-0.588590172182635
96,-0.30759474609182796,-2.173557112308214,0.6863258144059886,-0.4843898809272751
97,-0.2834656565867909,-2.012206240373602,0.7754172788109188,-0.3424128488401869
98,-0.038071184746158844,-1.8753075747531267,0.8888880476555887,-0.15530460076921837
99,0.13473197036543616,-1.7742618317486087,0.9915646100917698,0.003230751267108173
100,-0.10110234454719805,-1.7262182862702804,1.0459000090815338,0.055611086616114504
101,-0.46944279683264356,-1.7501191115542922,1.047689001628742,0.05375349401936215
102,-0.5860080040610223,-1.8573269102563386,1.0144220232266214,0.08201436865980458
103,-0.6358821422882684,-2.0345315597235407,0.9739643818136994,0.14555296821249492
104,-0.8903603246846383,-2.252151442543595,0.9489658821354254,0.22522544165257294
105,-1.2843951196033587,-2.4787608169928683,0.9718359239644626,0.2958995091977867
106,-1.6671441974447412,-2.679688089498915,1.0375124972104304,0.3297350792080226
107,-1.7751188267370943,-2.8187302056102475,1.097314459613035,0.364265682033869
108,-1.406862161014756,-2.8700959960659294,1.1147644184928083,0.44330661092562373
109,-0.9783008324360264,-2.8213999197790134,1.0710919260218896,0.4984807882337176
110,-0.9902003711690951,-2.6802652885205176,0.9684113004018133,0.45305312474713033
111,-1.1920954195568723,-2.4904426512448823,0.8200883065978773,0.35634269956230435
112,-1.1663228967264356,-2.302621306343574,0.6478712435576096,0.28555162171217835
113,-0.9732272957448989,-2.1350623008535288,0.474476194517422,0.26143667265736087
114,-0.7752049526998535,-1.9883147890420243,0.31794779788920957,0.282939549249855
115,-0.6632294128738244,-1.8584733085824703,0.18489685952623802,0.3023001852880039
116,-0.6989619530510673,-1.735016514255948,0.07869755078533033,0.27120485475298833
117,-0.6146342228646283,-1.6140205034215644,0.00929528182121258,0.26329273534167597
118,-0.11987591939123193,-1.4921601204267176,-0.009919422764881284,0.37166562129847225
119,0.45628611338975134,-1.349922565779453,0.04015023436482041,0.5509027819858598
120,0.6960455373975176,-1.1710173174656147,0.17205813857491406,0.7269050272004947
121,0.8315159981922178,-0.9602242956358142,0.37343789850517767,0.9204632779433883
122,1.203177611786263,-0.7361481129506451,0.6171266605365245,1.1615374761076038
123,1.7307476634024042,-0.5326942103644032,0.8727443671559014,1.4382486775661238
124,2.2337716716282374,-0.3799698322664328,1.1117885009055426,1.7269210102096693
125,2.5042563972285414,-0.2781644740029985,1.3153433410798612,1.945285101291354
126,2.389767285118284,-0.21333017148722208,1.4771226261315216,2.0273359089510157
127,2.2618214297632564,-0.13044987475116027,1.6068335044799633,2.092859902129236
128,-2.939162299709476,-16.679721370039005,-13.60512756345672,-8.428512267655634
129,-2.202783919910517,-17.045125360638917,-13.94909287791025,-7.933253507822158
130,-1.7134743709003928,-17.370602844529554,-14.257061483800864,-7.4412296451478195
131,-1.4328982442880445,-17.640918584400495,-14.537880230646305,-6.994333365037272
132,-1.2359761087817536,-17.844711758516837,-14.80983006172346,-6.634199342773432
133,-0.9830318863999337,-17.984745620382128,-15.081391468718932,-6.3551699664572014
134,-0.5885026313248809,-18.0781214450601,-15.361339322340461,-6.157000481292214
135,-0.40746431519443815,-18.14237847738333,-15.662138178164575,-6.136264388145014
136,-0.7927901630538661,-18.20415685935081,-15.993879233300873,-6.383008016615518
137,-1.4369925144792293,-18.329040594111444,-16.366575283095546,-6.8590115333179575
138,-1.9738124830421033,-18.551677617792414,-16.781950694276983,-7.500675980876434
139,-2.5995922560302764,-18.84531075646643,-17.220148993558595,-8.314298153309652
140,-3.573436532986194,-19.133587550515063,-17.653047233501166,-9.307094550506571
141,-4.901590239699855,-19.37336755163154,-18.064389486532924,-10.458204279357233
142,-6.5089065080013855,-19.573156066522824,-18.439404280480836,-11.741622385116857
143,-8.111556892213937,-19.740583653570585,-18.749250990833232,-13.091600714995478
144,-9.468938274548037,-19.858268154164215,-18.979559297069834,-14.46673118767095
145,-10.914794915534054,-19.935979284264945,-19.15547886000657,-15.963273093905059
146,-12.823905875637251,-19.98372906018542,-19.31730921310173,-17.689917643942998
147,-14.936597958092248,-20.01788825266045,-19.505881629772126,-19.61905166013827
148,-16.935784015194855,-20.055041840750608,-19.749217230922405,-21.699054279557664
149,-18.96457043886264,-20.11038476872145,-20.037965919660568,-23.94373722450742
150,-21.22092368792567,-20.182685708824234,-20.347790636281967,-26.36536924642579
151,-23.786201045656107,-20.226728074175625,-20.663231927192864,-28.972617482526154
152,-26.66285437124818,-20.19763388669551,-20.97507079971206,-31.744145833133782
153,-29.504606885816486,-20.098820004776695,-21.292456363601726,-34.53682356300593
154,-31.989305766356235,-19.949099928980743,-21.62535563303607,-37.21031632601899
155,-34.44777247387481,-19.769185131727493,-21.950937097537448,-39.78571438488676
156,-37.254819472129405,-19.56791484339866,-22.245761107289333,-42.32525910215016
157,-40.13366749520785,-19.29849363676902,-22.520748838911064,-44.82130180878788
158,-42.73874141626253,-18.915419849855265,-22.793961256726377,-47.25876264539195
159,-45.10766190762348,-18.44225344347788,-23.072190159883743,-49.631855496062975
160,-47.35971524616485,-17.924131967150352,-23.35682693223096,-51.92804457548409
161,-49.68187311821029,-17.400429041656317,-23.637414176537796,-54.16449100941138
162,-52.206234084666,-16.898070654391983,-23.900116740527277,-56.347771468016106
163,-54.572473369830206,-16.391376195380854,-24.143113576009902,-58.39323745435306
164,-56.415501592415396,-15.850687711693215,-24.36725214048229,-60.218187648583736
165,-58.05373540050175,-15.305396555861646,-24.568874845433907,-61.85927456217587
166,-59.860603726615736,-14.799355948741594,-24.74120769713123,-63.364393696351115
167,-61.64662200971954,-14.362232710359438,-24.87071818436226,-64.69092270711052
168,-63.13899468783631,-14.006624248956015,-24.943247424880866,-65.78636551656115
169,-64.24367515125745,-13.699199288233919,-24.954058305155908,-66.62514535844606
170,-64.94931180266883,-13.396017129837343,-24.905424941586478,-67.20371379326124
171,-65.55281327302299,-13.090812135102226,-24.79931481264409,-67.59616241121266
172,-66.33289635088425,-12.791652771545323,-24.64526505105427,-67.87290892001413
173,-66.94406719291929,-12.503396697793212,-24.47334832389698,-67.97518103739002
174,-67.00655768179384,-12.232736880714377,-24.30919858200754,-67.82884045883846
175,-66.80614763613913,-11.981410276654218,-24.146507474971585,-67.46174548024858
176,-66.69200558370423,-11.744945521687585,-23.968532353892886,-66.92284820844604
177,-66.58391090657787,-11.517394653396552,-23.76359116105653,-66.23405151923076
178,-66.31777100110835,-11.292536281710822,-23.52202082228651,-65.40861937397185
179,-65.71121671228308,-11.061532212693354,-23.24812558698002,-64.42547395481267
180,-64.64512457466891,-10.820468491547242,-22.94266653104678,-63.2529130754158
181,-63.47622165037702,-10.584195607569292,-22.577542008790633,-61.912025998541985
182,-62.55694694694966,-10.365635660873886,-22.122403377714996,-60.42400874577991
183,-61.52180320119595,-10.15156671226651,-21.565162616750285,-58.73169152089276
184,-59.956662711203,-9.924809837289645,-20.91429597287752,-56.79507594461905
185,-58.09193985788632,-9.679971225862232,-20.20701446633178,-54.68373347306826
186,-56.24915315065972,-9.420636180794416,-19.490504314658626,-52.48792239489473
187,-54.484140781503974,-9.16885674604516,-18.806395118905524,-50.26973194529576
188,-52.67643658755739,-8.99053019928441,-18.205449295024074,-48.05638988920443
189,-50.62121668556017,-8.97187742843735,-17.722246367707868,-45.78714225315397
190,-48.09620306453695,-9.132161262018732,-17.32759993237754,-43.392342864681574
191,-45.709171030042405,-9.444053254757788,-16.980798022318577,-40.98577776136376
192,-44.07303899906081,-9.812769089203444,-16.61534186467123,-38.68250548382648
193,-42.6389019029441,-10.1899567410758,-16.185412611614602,-36.3569174746673
194,-40.6839228723858,-10.528577063935039,-15.674428931867812,-33.861462099556775
195,-38.292460519399995,-10.823620776467699,-15.095296375349138,-31.24153811559791
196,-35.350272471823395,-11.03652213840584,-14.283843735110745,-27.98399561230113
197,-32.29971537197913,-11.242866886597499,-13.460222937424794,-24.777360586177974
198,-29.214447256640057,-11.392073043250369,-12.631134320851547,-21.651410937505382
199,-26.129812697810063,-11.505245647201036,-11.806707201494559,-18.5585370437158
200,-23.04313471351385,-11.610212453949854,-10.994569882229964,-15.442524428179713
201,-19.9704992043933,-11.733362051847884,-10.198341096474064,-12.37678527832421
202,-16.924731800632188,-11.856329208795186,-9.41949658671168,-9.451162938766753
203,-13.863389138212423,-11.985957736869226,-8.657608818859753,-6.624697303415842
204,-10.769250842715449,-12.124812368718143,-7.9133462401975665,-3.826690092231001
205,-7.7578236175931234,-12.277321459213058,-7.190119493895026,-1.0459510076304248
206,-4.948174476445137,-12.449629217730418,-6.494158639661965,1.7124327843029514
207,-2.3789550290800965,-12.634311471133081,-5.8384412453878225,4.42060642386833
208,-0.013073790973262441,-12.819370601104465,-5.230485034311451,7.049792650557135
209,2.4448804198629834,-13.012420144887962,-4.661344198527348,9.650410895112282
210,5.258041746706989,-13.21934660753138,-4.113689972989107,12.284334885987082
211,8.084787945896142,-13.406156462558187,-3.555179007552539,14.920880871204686
212,10.492873854538901,-13.540768762740438,-2.9662596768975025,17.507305804875266
213,12.675723403455935,-13.64692316119712,-2.3925103498307587,20.041034234869606
214,14.964563753687896,-13.763358019116259,-1.8947222072095258,22.53023533971684
215,17.375009607204202,-13.904876604261503,-1.4804752314967198,24.982630903641144
216,19.833075223215868,-14.072567876166108,-1.135962333482702,27.404553265151538
217,22.135160645279935,-14.248022211973526,-0.8537765078007943,29.761012498645954
218,24.08990581228297,-14.403444472623661,-0.6168726481391947,32.01452871830626
219,26.013493292774935,-14.529643463661463,-0.4055238603705702,34.19620841177349
220,28.290504822066268,-14.628441652770762,-0.1956021929657064,36.3543493872671
221,30.664617810401182,-14.694932766706234,0.06395077697413024,38.48286521600902
222,32.765379917621466,-14.731976453275434,0.41698870340195304,40.56963554388765
223,34.70292900834266,-14.770242374403756,0.8549442659051885,42.64796445156891
224,36.69001983081276,-14.837435795680404,1.3428767679552809,44.74748876947327
225,38.82548123321301,-14.924752825016169,1.8470935557280566,46.86601051753338
226,41.15413485343201,-15.00642249714093,2.3339379659225057,48.98237922058572
227,43.40760826657843,-15.052120723336417,2.777777159583428,51.020487930189724
228,45.29808335143988,-15.038208960420947,3.167597563113441,52.91598052262662
229,47.14890681849126,-14.974405585449738,3.5093788479162082,54.75022860908621
230,49.368746503090435,-14.885536724056742,3.819374649021672,56.631248989439655
231,51.72086867481645,-14.787024542417456,4.107534099660339,58.52744619928198
232,53.84065165505339,-14.6870871642379,4.385121255977426,60.37710126416701
233,55.733246291514334,-14.577831189871917,4.683744961089956,62.18203419049355
234,57.495812103444656,-14.4459038681033,5.028591679868168,63.96082524820549
235,59.28024984129917,-14.296924179640763,5.406837121012604,65.77772061869675
236,61.22041605335133,-14.14100486766189,5.79328286274237,67.68074114594953
237,63.00138321473953,-13.975102896438802,6.167195269769684,69.54819574097881
238,64.27028367567483,-13.791996774056955,6.518040581113767,71.2258745721843
239,65.36308022572902,-13.585450709599106,6.876403490250082,72.7219998760421
240,66.71673537010663,-13.348891355747726,7.2748642708705304,74.08556135566815
241,68.15152438767845,-13.077702348333089,7.687391894467707,75.29499434586714
242,69.34309292674165,-12.771838636235602,8.068642737176441,76.3109870087753
243,70.16793553825492,-12.436791450205536,8.390530644504581,77.06482701443932
244,70.5799783870416,-12.080572856892855,8.639263735809331,77.48942565243894
245,70.82145703103023,-11.713200230756044,8.833368373794373,77.62083528832329
246,71.15686652195967,-11.34156356400733,9.003745225904776,77.51894012892511
247,71.23156117769167,-10.959322876339238,9.15935763699066,77.14819628083377
248,70.60710870382108,-10.559480054339396,9.295052747381126,76.45536269629619
249,69.53045731410043,-10.149807063332915,9.392826439943624,75.44597671480318
250,68.38476474202943,-9.74655999594249,9.432299795994487,74.14102577021504
251,67.14934623193925,-9.369926952321956,9.416904319944267,72.56717779603235
252,65.7045376324873,-9.038953634260317,9.361466177807317,70.7572308000854
253,63.89396304257445,-8.759955610339704,9.2731152233113,68.69951362136703
254,61.59478128839871,-8.523938487956027,9.16073841845793,66.38720506076524
255,59.14548028315396,-8.31911743093732,9.038848405338022,63.91858567901182
256,-8.076048761845227,-21.316271094684595,-13.58356512084839,-7.45977595233107
257,-8.359285533619945,-21.840177843128142,-14.041362425061624,-7.771057366655008
258,-8.893589143854594,-22.36173826527809,-14.485755384735079,-8.129444725732919
259,-9.561815651276648,-22.91812470824645,-14.946540927822808,-8.600677974040503
260,-10.17314355778216,-23.498236595093502,-15.432212049551019,-9.219465173396369
261,-10.653043850444552,-24.068227232275085,-15.942221298127084,-9.941329442352684
262,-10.978221256241266,-24.589790409464072,-16.47657502552086,-10.687251018714019
263,-11.443259696078565,-25.068523920905783,-17.018177068529035,-11.439109533983356
264,-12.29743204578996,-25.52613347034209,-17.535710465392498,-12.190739223914788
265,-13.11150542569182,-25.975375449219328,-18.014019236801133,-12.88240275093523
