,TP9,AF7,AF8,TP10
0,-0.06321500259204071,-0.4391974931016884,-0.3758946872798036,0.5142859642379298
1,-0.47644060916888914,-0.9892066110647917,-0.7509314534255551,0.3658773432721004
2,-1.1003071626168146,-1.7806873577608766,-1.2478020740035765,0.06218708932138356
3,-1.9605393739192558,-2.8138628036580036,-1.8447521356480878,-0.488198006164513
4,-3.080105160678877,-4.071366505102841,-2.5139102585620114,-1.3946441367401388
5,-4.452342854272893,-5.522072259730711,-3.2270193301800427,-2.6670152486750456
6,-6.034930340847107,-7.122130683146838,-3.957965881040274,-4.20446565361375
7,-7.776157771425648,-8.818213919202966,-4.6870299526531625,-5.901627789159634
8,-9.648526238977418,-10.55937681709184,-5.406852224337533,-7.740267953643368
9,-11.641549436979245,-12.312799925384866,-6.127787491062581,-9.744603273264714
10,-13.728664014649167,-14.077774632831446,-6.883780457508889,-11.845570191807825
11,-15.862644119141471,-15.83155163012633,-7.6927264347806625,-13.930382994109765
12,-17.989298162174187,-17.543754790205842,-8.56999742392602,-15.952770312738245
13,-20.066353450926286,-19.174673828387224,-9.526449145288499,-17.985760396129297
14,-22.050146056728444,-20.678442187180615,-10.56485811034485,-20.090434721687835
15,-23.863706330117836,-22.010464846411736,-11.678120447449281,-22.17593585794817
16,-25.413114573901833,-23.132617218979973,-12.84981535535734,-24.072098273952587
17,-26.640264016215482,-24.018989348274758,-14.059074975094596,-25.691361182907173
18,-27.570357015238613,-24.658759661237646,-15.286019642654946,-27.10992031371126
19,-28.269235403564647,-25.048051227629315,-16.514156985426283,-28.42985288306734
20,-28.753894149055366,-25.18276882617197,-17.725637152783555,-29.60528070217553
21,-28.992196261644903,-25.06339733635923,-18.894890191043583,-30.490114636385083
22,-28.96943389135526,-24.704399836337547,-19.992250620552454,-31.00094773056407
23,-28.737097545178546,-24.13792586222787,-20.990989029734436,-31.213881593078483
24,-28.36964982482526,-23.408820251641025,-21.86894364682091,-31.233724727880766
25,-27.88414897792662,-22.568467772805644,-22.610224401987033,-31.03626555604588
26,-27.252695031508537,-21.666280180830825,-23.210591096460607,-30.525525648543002
