,TP9,AF7,AF8,TP10
0,-11.275394350673514,-14.092012263023648,-15.420671354248828,-13.592426101787948
1,-11.637043291285648,-14.594100647335067,-15.746452126713912,-13.876427003872452
2,-11.913689356211162,-15.146956507294385,-16.018686660135437,-14.14397360261748
3,-12.20057568128101,-15.734442786733366,-16.243025166561058,-14.433360702544688
4,-12.597823402112569,-16.327841763832254,-16.43384340576174,-14.764508420452573
5,-13.036778263386637,-16.888615039144913,-16.600640850955003,-15.098893307535576
6,-13.430489113909328,-17.38872435668619,-16.754666326165392,-15.385946954590821
7,-13.80261168243979,-17.83418245280275,-16.923957683362755,-15.646131274876284
8,-14.195098308622912,-18.24740545518524,-17.129912480585162,-15.909946330400341
9,-14.632228661504776,-18.65018729455296,-17.361085973752207,-16.154288366539575
10,-15.124926057244211,-19.060367738869513,-17.59714788397956,-16.35546757629493
11,-15.610955986064134,-19.47683911549189,-17.83151560413666,-16.51805963502832
12,-16.021644224891638,-19.885687210707687,-18.060832149909658,-16.658388301047495
13,-16.39885071207778,-20.28559393649546,-18.28155418121269,-16.81889710472093
14,-16.791347178726276,-20.664357424059073,-18.49364300855044,-17.033763009214614
15,-17.129053705197236,-20.957194960148147,-18.694284188563852,-17.27031885894349
16,-17.345230438431233,-21.109529679723266,-18.882103384752387,-17.478700879040833
17,-17.483273743009875,-21.155349643935686,-19.06943171609093,-17.656135088293556
18,-17.60547806373455,-21.138954651535972,-19.263816915780517,-17.804144834246827
19,-17.75428977855079,-21.09662110273841,-19.44714346426855,-17.882957295028262
20,-17.947014909035833,-21.031767016359858,-19.597550969719695,-17.86914738258746
21,-18.098454236023116,-20.967299186576497,-19.70436719261332,-17.799641263955056
22,-18.12880940052836,-20.966071644826794,-19.767094244875473,-17.724158335079636
23,-18.122947478027044,-21.04672333401481,-19.808766934349464,-17.690936286890462
24,-18.18591770469114,-21.213770562857434,-19.852057103513935,-17.720053379744183
25,-18.302516771178958,-21.436315452064786,-19.88342280110203,-17.731979885348398
26,-18.427485752513963,-21.679027413907754,-19.88156143071293,-17.644033322767932
27,-18.520427501726825,-21.91750050794454,-19.847871303978422,-17.496346671105385
28,-18.55057483640159,-22.145999376651474,-19.78873675419881,-17.35599789476216
29,-18.569760135298942,-22.345612281434654,-19.701065503888415,-17.228202288337524
30,-18.632947600866697,-22.466542523224096,-19.58501680142444,-17.107360567837766
31,-18.68100624267949,-22.468949116667158,-19.45568488409026,-16.99338790117906
32,-18.641740874451614,-22.372025158457912,-19.321927950929656,-16.87991288798496
33,-18.522515993524003,-22.237565418441847,-19.168053068222918,-16.780799471673717
